run_name,epoch,global_step,train_loss,dev_accuracy,learning_rate,examples_seen,effective_batch_size
GNLI_PROXY_3way,1,1,0.24707662966102362,,2.0833333333333334e-06,32,32
GNLI_PROXY_3way,1,25,0.13865199563559144,,5.208333333333334e-05,800,32
GNLI_PROXY_3way,1,50,0.07090316141329822,,0.00010416666666666667,1600,32
GNLI_PROXY_3way,1,75,0.047389362236826854,,0.00015625,2400,32
GNLI_PROXY_3way,1,100,0.03557426731831811,,0.00020833333333333335,3200,32
GNLI_PROXY_3way,1,125,0.028478016162451242,,0.0002604166666666667,4000,32
GNLI_PROXY_3way,1,150,0.023742394540028425,,0.0003125,4800,32
GNLI_PROXY_3way,1,175,0.02035644495998115,,0.0003645833333333333,5600,32
GNLI_PROXY_3way,1,200,0.017815101143196444,,0.0004166666666666667,6400,32
GNLI_PROXY_3way,1,225,0.015837768362704688,,0.00046875,7200,32
GNLI_PROXY_3way,1,250,0.014255625778223304,,0.0004986702127659575,8000,32
GNLI_PROXY_3way,1,275,0.012960696824741004,,0.0004953457446808511,8800,32
GNLI_PROXY_3way,1,300,0.01188140202581503,,0.0004920212765957447,9600,32
GNLI_PROXY_3way,1,325,0.010968010741943491,,0.0004886968085106383,10400,32
GNLI_PROXY_3way,1,350,0.010185197042820603,,0.0004853723404255319,11200,32
GNLI_PROXY_3way,1,375,0.011262185702588834,,0.0004820478723404255,12000,32
GNLI_PROXY_3way,1,400,0.010563262247431916,,0.0004787234042553192,12800,32
GNLI_PROXY_3way,1,425,0.010030313705721997,,0.0004753989361702128,13600,32
GNLI_PROXY_3way,1,450,0.00977406515517572,,0.0004720744680851064,14400,32
GNLI_PROXY_3way,1,475,0.009264095860308968,,0.00046875,15200,32
GNLI_PROXY_3way,2,500,0.008802215156902037,,0.00046542553191489364,16000,32
GNLI_PROXY_3way,2,525,0.00838359213878479,,0.00046210106382978724,16800,32
GNLI_PROXY_3way,2,550,0.008003093578725213,,0.00045877659574468084,17600,32
GNLI_PROXY_3way,2,575,0.007655296563402376,,0.0004554521276595745,18400,32
GNLI_PROXY_3way,2,600,0.0073365610683258295,,0.0004521276595744681,19200,32
GNLI_PROXY_3way,2,625,0.007043238809281246,,0.0004488031914893617,20000,32
GNLI_PROXY_3way,2,650,0.006772441762750335,,0.0004454787234042553,20800,32
GNLI_PROXY_3way,2,675,0.006521695192108649,,0.00044215425531914896,21600,32
GNLI_PROXY_3way,2,700,0.006288874272728585,,0.00043882978723404256,22400,32
GNLI_PROXY_3way,2,725,0.00607208538026215,,0.00043550531914893616,23200,32
GNLI_PROXY_3way,2,750,0.005869754456540001,,0.0004321808510638298,24000,32
GNLI_PROXY_3way,2,775,0.005680466755411274,,0.0004288563829787234,24800,32
GNLI_PROXY_3way,2,800,0.005503168643029497,,0.000425531914893617,25600,32
GNLI_PROXY_3way,2,825,0.005336459533940543,,0.0004222074468085106,26400,32
GNLI_PROXY_3way,2,850,0.005179597813458478,,0.0004188829787234043,27200,32
GNLI_PROXY_3way,2,875,0.0050316603983980085,,0.0004155585106382979,28000,32
GNLI_PROXY_3way,2,900,0.0048920096309247,,0.00041223404255319153,28800,32
GNLI_PROXY_3way,2,925,0.004759840679042693,,0.00040890957446808513,29600,32
GNLI_PROXY_3way,2,950,0.004634613443010064,,0.00040558510638297873,30400,32
GNLI_PROXY_3way,3,975,0.004515805137169427,,0.00040226063829787234,31200,32
GNLI_PROXY_3way,3,1000,0.004402942520050433,,0.00039893617021276594,32000,32
GNLI_PROXY_3way,3,1000,0.004402942520050433,1.0,0.00039893617021276594,32000,32
GNLI_PROXY_3way,3,1025,0.004295553678097984,,0.0003956117021276596,32800,32
GNLI_PROXY_3way,3,1050,0.004193278590524222,,0.0003922872340425532,33600,32
GNLI_PROXY_3way,3,1075,0.004095760483767845,,0.00038896276595744685,34400,32
GNLI_PROXY_3way,3,1100,0.004002675018227667,,0.00038563829787234045,35200,32
GNLI_PROXY_3way,3,1125,0.0039137266844892745,,0.00038231382978723405,36000,32
GNLI_PROXY_3way,3,1150,0.0038286456696090725,,0.00037898936170212765,36800,32
GNLI_PROXY_3way,3,1175,0.003747185123447177,,0.00037566489361702126,37600,32
GNLI_PROXY_3way,3,1200,0.0036691187667086942,,0.0003723404255319149,38400,32
GNLI_PROXY_3way,3,1225,0.003594238791877905,,0.0003690159574468085,39200,32
GNLI_PROXY_3way,3,1250,0.0035223540160403467,,0.00036569148936170217,40000,32
GNLI_PROXY_3way,3,1275,0.0034532882510199476,,0.00036236702127659577,40800,32
GNLI_PROXY_3way,3,1300,0.0033868788615772564,,0.00035904255319148937,41600,32
GNLI_PROXY_3way,3,1325,0.0033229754868305157,,0.00035571808510638297,42400,32
GNLI_PROXY_3way,3,1350,0.0032614389037410618,,0.0003523936170212766,43200,32
GNLI_PROXY_3way,3,1375,0.0032021400145821333,,0.0003490691489361702,44000,32
GNLI_PROXY_3way,3,1400,0.0031449589428931665,,0.0003457446808510639,44800,32
GNLI_PROXY_3way,3,1425,0.003089784224596795,,0.0003424202127659575,45600,32
GNLI_PROXY_3way,4,1450,0.0030365120827934022,,0.0003390957446808511,46400,32
GNLI_PROXY_3way,4,1475,0.0029850457763053785,,0.0003357712765957447,47200,32
GNLI_PROXY_3way,4,1500,0.0029352950133669556,,0.0003324468085106383,48000,32
GNLI_PROXY_3way,4,1525,0.0028871754229838906,,0.0003291223404255319,48800,32
GNLI_PROXY_3way,4,1550,0.0028406080774518927,,0.0003257978723404255,49600,32
GNLI_PROXY_3way,4,1575,0.0027955190603494813,,0.0003224734042553192,50400,32
GNLI_PROXY_3way,4,1600,0.0027518390750315208,,0.0003191489361702128,51200,32
