run_name,epoch,global_step,train_loss,dev_accuracy,learning_rate,examples_seen,effective_batch_size
WANLI_GNLI_PROXY_3way,1,1,0.3239974854514003,,2.0833333333333334e-06,32,32
WANLI_GNLI_PROXY_3way,1,25,0.34268933339975777,,5.208333333333334e-05,800,32
WANLI_GNLI_PROXY_3way,1,50,0.29835803180467335,,0.00010416666666666667,1600,32
WANLI_GNLI_PROXY_3way,1,75,0.27514403088018297,,0.00015625,2400,32
WANLI_GNLI_PROXY_3way,1,100,0.25846035042312,,0.00020833333333333335,3200,32
WANLI_GNLI_PROXY_3way,1,125,0.24702881775423885,,0.0002604166666666667,4000,32
WANLI_GNLI_PROXY_3way,1,150,0.2437214814638719,,0.0003125,4800,32
WANLI_GNLI_PROXY_3way,1,175,0.23880661544190454,,0.0003645833333333333,5600,32
WANLI_GNLI_PROXY_3way,1,200,0.23722940509323961,,0.0004166666666666667,6400,32
WANLI_GNLI_PROXY_3way,1,225,0.23373669985274317,,0.00046875,7200,32
WANLI_GNLI_PROXY_3way,1,250,0.23320669694436946,,0.0004986702127659575,8000,32
WANLI_GNLI_PROXY_3way,1,275,0.22900244941273493,,0.0004953457446808511,8800,32
WANLI_GNLI_PROXY_3way,1,300,0.226707820561957,,0.0004920212765957447,9600,32
WANLI_GNLI_PROXY_3way,1,325,0.2257754279681159,,0.0004886968085106383,10400,32
WANLI_GNLI_PROXY_3way,1,350,0.22405825728289658,,0.0004853723404255319,11200,32
WANLI_GNLI_PROXY_3way,1,375,0.2223262469134303,,0.0004820478723404255,12000,32
WANLI_GNLI_PROXY_3way,1,400,0.22137485027742967,,0.0004787234042553192,12800,32
WANLI_GNLI_PROXY_3way,1,425,0.22035145660363709,,0.0004753989361702128,13600,32
WANLI_GNLI_PROXY_3way,1,450,0.21887684233456337,,0.0004720744680851064,14400,32
WANLI_GNLI_PROXY_3way,1,475,0.21752853212108006,,0.00046875,15200,32
WANLI_GNLI_PROXY_3way,1,500,0.2166240639917487,,0.00046542553191489364,16000,32
WANLI_GNLI_PROXY_3way,1,525,0.21620964577235316,,0.00046210106382978724,16800,32
WANLI_GNLI_PROXY_3way,1,550,0.21548851635032737,,0.00045877659574468084,17600,32
WANLI_GNLI_PROXY_3way,1,575,0.21481328952730266,,0.0004554521276595745,18400,32
WANLI_GNLI_PROXY_3way,1,600,0.21417934282943862,,0.0004521276595744681,19200,32
WANLI_GNLI_PROXY_3way,1,625,0.21359174251822988,,0.0004488031914893617,20000,32
WANLI_GNLI_PROXY_3way,1,650,0.21280107711652257,,0.0004454787234042553,20800,32
WANLI_GNLI_PROXY_3way,1,675,0.2123662647416778,,0.00044215425531914896,21600,32
WANLI_GNLI_PROXY_3way,1,700,0.21177635636067083,,0.00043882978723404256,22400,32
WANLI_GNLI_PROXY_3way,1,725,0.21126313831096796,,0.00043550531914893616,23200,32
WANLI_GNLI_PROXY_3way,1,750,0.2108984213419535,,0.0004321808510638298,24000,32
WANLI_GNLI_PROXY_3way,1,775,0.20989821742741402,,0.0004288563829787234,24800,32
WANLI_GNLI_PROXY_3way,1,800,0.20893030982265715,,0.000425531914893617,25600,32
WANLI_GNLI_PROXY_3way,1,825,0.2090450682188704,,0.0004222074468085106,26400,32
WANLI_GNLI_PROXY_3way,1,850,0.20866270749687402,,0.0004188829787234043,27200,32
WANLI_GNLI_PROXY_3way,1,875,0.20824484725125825,,0.0004155585106382979,28000,32
WANLI_GNLI_PROXY_3way,1,900,0.20763855197960362,,0.00041223404255319153,28800,32
WANLI_GNLI_PROXY_3way,1,925,0.20719871251232688,,0.00040890957446808513,29600,32
WANLI_GNLI_PROXY_3way,1,950,0.20687993955391423,,0.00040558510638297873,30400,32
WANLI_GNLI_PROXY_3way,1,975,0.2065111549837789,,0.00040226063829787234,31200,32
WANLI_GNLI_PROXY_3way,1,1000,0.20601634731684418,,0.00039893617021276594,32000,32
WANLI_GNLI_PROXY_3way,1,1000,0.20601634731684418,1.0,0.00039893617021276594,32000,32
WANLI_GNLI_PROXY_3way,1,1025,0.20555214778524714,,0.0003956117021276596,32800,32
WANLI_GNLI_PROXY_3way,1,1050,0.20515811592744632,,0.0003922872340425532,33600,32
WANLI_GNLI_PROXY_3way,1,1075,0.20516799889551104,,0.00038896276595744685,34400,32
WANLI_GNLI_PROXY_3way,1,1100,0.2045022572787282,,0.00038563829787234045,35200,32
WANLI_GNLI_PROXY_3way,1,1125,0.20402673427620027,,0.00038231382978723405,36000,32
WANLI_GNLI_PROXY_3way,1,1150,0.20363974794634157,,0.00037898936170212765,36800,32
WANLI_GNLI_PROXY_3way,1,1175,0.20300157359281823,,0.00037566489361702126,37600,32
WANLI_GNLI_PROXY_3way,1,1200,0.20240879542782653,,0.0003723404255319149,38400,32
WANLI_GNLI_PROXY_3way,1,1225,0.20191547346696595,,0.0003690159574468085,39200,32
WANLI_GNLI_PROXY_3way,1,1250,0.20117698533067377,,0.00036569148936170217,40000,32
WANLI_GNLI_PROXY_3way,2,1275,0.20024300847434506,,0.00036236702127659577,40800,32
WANLI_GNLI_PROXY_3way,2,1300,0.19947027771089018,,0.00035904255319148937,41600,32
WANLI_GNLI_PROXY_3way,2,1325,0.19837102500432816,,0.00035571808510638297,42400,32
WANLI_GNLI_PROXY_3way,2,1350,0.19759708419533648,,0.0003523936170212766,43200,32
WANLI_GNLI_PROXY_3way,2,1375,0.197037297458905,,0.0003490691489361702,44000,32
WANLI_GNLI_PROXY_3way,2,1400,0.19658014653313235,,0.0003457446808510639,44800,32
WANLI_GNLI_PROXY_3way,2,1425,0.19570156699172211,,0.0003424202127659575,45600,32
WANLI_GNLI_PROXY_3way,2,1450,0.1950597823353144,,0.0003390957446808511,46400,32
WANLI_GNLI_PROXY_3way,2,1475,0.19430013355746592,,0.0003357712765957447,47200,32
